id,label,left_id,left_title,left_manufacturer,left_price,right_id,right_title,right_manufacturer,right_price
0,0,571,microsoft visio standard 2007 version upgrade,microsoft,129.95,946,adobe cs3 design standard upgrade,,413.99
1,0,574,microsoft mappoint 2006 with gps,microsoft,349.0,2423,microsoft student with encarta premium 2008 complete package,,43.6
2,0,250,adobe after effects professional 7.0,adobe,999.0,2839,adobe flash cs3 professional ( mac ),,699.0
3,1,1162,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu,395.0,2109,motu digital performer dp5 software music production software,,319.95
4,1,741,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,358,adobe illustrator cs3 for mac academic,adobe-education-box,199.99
5,0,396,quickbooks premier non-profit edition 2005,intuit inc.,499.95,1253,quickbooks ( r ),,199.99
6,0,513,mavis beacon typing 17 ( win/mac ),encore software,19.99,989,broderbund mavis beacon teaches typing standard17,,22.99
7,0,892,adobe premiere pro cs3,adobe,799.0,951,adobe soundbooth cs3 academic,,95.99
8,0,1229,adobe photoshop cs2 advanced techniques by julieanne kost,software cinema,,1595,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,,537.65
9,0,510,reader rabbit learning system 1st grade,encore software,29.99,2845,dr. seuss reading learning system 2008 encore,,19.95
10,0,26,adobe premiere pro cs3 upgrade,adobe,299.0,521,adobe cs3 design premium,,1865.99
11,0,1272,punch ! home design architectural series 18,punch ! software,129.99,2438,punch software 17100 punch ! super home suite v. 3.0 complete product architectural 1 user complete productcomplete productstandard english pc,,45.97
12,0,808,3d home architect landscape designer v8,encore software,29.99,313,encore inc 3d home architect home design deluxe version 9,,25.49
13,0,135,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,1886,c8a-00066 microsoft dynamics crm professional v. 3.0 product upgrade license 20,,9676.92
14,0,93,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,2959,microsoft windows vista business full version,,249.95
15,0,1334,adobe creative suite cs3 web standard,adobe,999.0,3188,adobe creative suite 3 web standard complete package academic cd mac,,369.0
16,0,669,printmaster gold v 17.0,encore software,19.99,674,print master platinum v17,,29.9
17,0,632,microsoft windows xp professional full version with sp2,microsoft,299.99,2112,adobe production premium cs3 software suite for windows professional editing software,,1698.95
18,0,113,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85,3117,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),,719.04
19,0,753,microsoft office & windows training professional,topics entertainment,49.95,2524,adobe after effects cs3 professional software for windows effects software,,998.95
20,0,709,dk smart steps 3rd grade,global-software-publishing,9.99,1548,smart steps 4th grade ( jc ),dorling-kindersley-multimedia - ( dk ),11.95
21,0,604,microsoft office small business 2007 full version,microsoft,449.95,915,microsoft office 2004 std upgrade,,219.99
22,0,719,best of card games ( jewel case ),on-hand-software,9.99,3106,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59
23,0,646,instant immersion german audio,topics entertainment,,845,topics entertainment instant immersion italian 2.0,,17.55
24,0,371,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,3183,microsoft ( r ) money 2004 standard,,29.99
25,0,1182,onone software pxl smartscale windows and macintosh ),onone software,,2398,onone software inc. mpr-40212,onone software inc.,66.27
26,0,244,microsoft visual studio team edition for software developers 2005 with msdn premium,microsoft,5479.0,2803,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0
27,1,587,microsoft word 2007 version upgrade,microsoft,109.95,2816,microsoft word 2007 upgrade ( pc ),,109.95
28,0,587,microsoft word 2007 version upgrade,microsoft,109.95,2474,word mac 2004 upgrade microsoft d48-00488,,97.36
29,0,562,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,3161,adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,,859.96
30,1,809,hoyle : classic collection 2006,encore,19.99,2585,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,,18.97
31,0,1174,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,939,adobe cs3 design premium academic,,575.99
32,0,72,midway arcade treasures ( jewel case ),encore software,9.99,3110,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59
33,0,953,digital vault,stompsoft inc.,29.99,1510,digital video & audio prod book,sony-pictures-digital-entertainment,27.5
34,0,584,microsoft windows vista business full version [ dvd ],microsoft,299.95,2518,microsoft powerpoint mac 2004 version upgrade,,89.99
35,0,797,zero-g pro pack for garageband ( appleloops ),zero-g,169.95,357,apple garageband jam pack : symphony orchestra,,95.99
36,0,474,microsoft asp net web matrix,microsoft,30.0,3091,microsoft ( r ) word 2007,,109.99
37,0,554,instant immersion german deluxe 2.0,topics entertainment,39.99,3009,instant immersion japanese 2.0,,22.43
38,0,851,punch ! professional home design platinum v10,punch ! software,99.0,2765,punch software 41100 punch ! home design architectural series 18,punch software,118.99
39,0,554,instant immersion german deluxe 2.0,topics entertainment,39.99,2501,instant immers french dlx 2,,27.57
40,0,588,adobe creative suite cs3 design standard [ mac ],adobe,1199.0,1865,19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,,1691.87
41,0,251,microsoft crm small business ed cal 3.0 license pack user cal,microsoft software,9929.0,1715,r18-00144 microsoft windows server license & software assurance 1 cal open business,,41.58
42,0,804,digidesign music production toolkit ( pro tools le ),digidesign,495.0,2291,apple/emagic logic pro 7.2 software music production software,,999.0
43,0,1118,adobe creative suite cs3 master collection upsell,adobe,1999.0,355,adobe cs3 after effects,,1025.99
44,0,791,hoyle kids ' games jc,encore,9.99,3039,hoyle card games,,9.95
45,0,1138,net ad creator,laughing bird,39.99,894,laughingbird the logo creator,,34.99
46,1,1012,reel deal slots 2.0 for pc,phantom efx,9.99,813,phantom efx reel deal slots v 2.0,,7.36
47,0,1186,adobe creative suite cs3 web standard [ mac ],adobe,999.0,2393,adobe production premium cs3 software suite for mac av production software,,1698.95
48,0,139,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,1865,19700045 adobe creative suite 3 web premium complete package 1 user cd mac univ,,1691.87
49,0,550,windows vista business spanish full version [ dvd ],microsoft,329.95,2959,microsoft windows vista business full version,,249.95
50,0,114,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95,1036,quickbooks ( r ) pro 2007 edition 3-user,,499.99
51,0,773,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,,1182,microsoft ( r ) office word 2004 for mac full version,,231.29
52,0,515,instant immersion spanish deluxe 2.0,topics entertainment,49.99,3048,instant immersion italian 2.0,topics entertainment,20.99
53,0,774,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe software,273.0,533,adobe acrobat v8 .0 professional for mac,,405.99
54,0,1111,apple final cut studio 2 ( mac ),apple,1299.0,2839,adobe flash cs3 professional ( mac ),,699.0
55,0,49,reference success deluxe 2006,topics entertainment,49.95,2045,high school success deluxe 2006,,7.9
56,0,496,microsoft windows vista business 32-bit for system builders,microsoft,179.99,3093,microsoft ( r ) windows vista ( tm ) home basic,,99.99
57,0,490,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,1075,microsoft ( r ) excel 2007,,109.99
58,0,1242,peachtree by sage premium accounting 2007,sage software,499.99,1879,sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007,,590.35
59,0,557,adobe creative suite cs3 production premium,adobe,1699.0,426,adobe cs3 production premium upgrade,,822.99
60,0,521,microsoft sql server developer edition 2005 cd/dvd,microsoft software,49.95,53,395-03824 microsoft exchange server 2007 enterprise edition complete package 1 server,,6594.2
61,0,975,computrace lojack for laptops 1 year license ( mac ),absolute software,49.95,734,lfl-n2-12 computrace lojack for laptops subscription package 1 year 1 notebook m,,39.95
62,0,1176,valuesoft tune transfer for ipod software for windows xp,valuesoft,29.95,2759,pinnacle mobile media converter software for windows ipod software,,29.95
63,0,1148,sibelius 4 professional edition,sibelius-software-ltd .,599.99,3024,sibelius sibelius 5 software music production software,sibelius-software-ltd .,449.95
64,0,211,microsoft entertainment pack ce,microsoft,49.5,289,entertainment partners ep budgeting for film,,415.99
65,0,322,adobe premiere pro 2.0,adobe,849.0,3032,premiere pro cs3 mac upgrade,,320.25
66,0,271,microsoft office small business 2007,microsoft software,735.33,959,microsoft windows vista business retail no open box returns,,299.99
67,1,268,world of rainbow fish,global-software-publishing,19.99,3128,world of rainbow fish ( a9839m2h ),global-software-publishing,19.19
68,0,346,mcafee internet security suite 2007 3 users,mcafee,89.99,3095,f-secure internet security 2007 3 pcs ( global marketing partners ),global-marketing-partners,63.35
69,0,138,sonicwall gms standard edition 10 node license,sonicwall,,1819,01-ssc-7309 sonicwall cfs standard edition for sonicwall pro 1260/2040/3060 / 4060 subscript,,2124.92
70,0,523,microsoft windows vista ultimate full version [ dvd ],microsoft,399.95,1169,microsoft ( r ) windows vista ( tm ) home premium,,239.99
71,1,994,irispen express translator,iris,149.99,828,iris inc irispen express translator,,142.29
72,0,518,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,3029,microsoft mappoint 2006 with gps locator ( pc ),,349.99
73,0,553,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,1564,adobe dreamweaver cs3 upgrade windows,,236.74
74,0,225,microsoft powerpoint 2004 ( mac ),microsoft,229.99,3199,microsoft ( r ) office ultimate 2007,,539.95
75,0,951,microspot macdraft professional ( mac ),microspot ltd.,349.99,533,adobe acrobat v8 .0 professional for mac,,405.99
76,0,157,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe systems inc,,1135,adobe photoshop cs3 extended complete package 1 user academic cd mac,,279.0
77,1,1299,snap ! spelling ( jewel case ),topics entertainment,19.95,697,spelling,,4.93
78,0,137,netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 ),netmanage,,1758,bhe3dus installanywhere enterprise edition v. 8 product upgrade license + 1 year,,4746.16
79,0,355,zonealarm internet security suite,zone labs,49.99,793,panda software panda internet security 2007,,69.99
80,0,1136,mediafour macdrive 6 for windows,mediafour corporation,49.99,3185,quark quarkxpress 7 upgrade for mac & windows,,244.99
81,0,1177,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,1163,microsoft ( r ) office 2004 for mac student and teacher edition,,146.95
82,1,571,microsoft visio standard 2007 version upgrade,microsoft,129.95,3027,microsoft office visio standard 2007 upgrade ( pc ),,129.95
83,0,320,quicken 2007 premier,intuit,79.95,3063,quickbooks pro 2007 3 user,intuit,398.99
84,0,518,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,3091,microsoft ( r ) word 2007,,109.99
85,0,1242,peachtree by sage premium accounting 2007,sage software,499.99,1385,laser checks for peachtree ( r ) accounting for windows 8.0-2005,,106.29
86,0,572,adobe dreamweaver cs3 upgrade,adobe,199.0,192,adobe cs3 flash professional upgrade,,205.99
87,1,457,national geographic presents : redshift 5 planetarium software,topics entertainment,39.99,2622,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ),,39.99
88,0,40,the print shop 22 deluxe,encore,49.99,2067,encore software 11941 the print shop zoom,,17.97
89,0,934,panda antivirus 2007,panda software,29.95,2999,norton antivirus 2007 3 user pack,,49.95
90,0,736,adobe creative suite cs3 production premium upgrade,adobe,799.0,367,adobe acrobat v8 .0 professional for mac upgrade,,145.99
91,0,990,power production storyboard artist 4,power production,,2172,power production storyboard quick 5 software for mac and windows animation software,,299.0
92,0,661,adobe cs3 design standard macosx dvd,adobe,399.0,566,adobe cs3 web standard,,1035.99
93,0,1242,peachtree by sage premium accounting 2007,sage software,499.99,1273,peachtree ( r ) compatible continuous checks-office accounting 12.0,,91.59
