id,left_Song_Name,left_Artist_Name,left_Album_Name,left_Genre,left_Price,left_CopyRight,left_Time,left_Released,right_Song_Name,right_Artist_Name,right_Album_Name,right_Genre,right_Price,right_CopyRight,right_Time,right_Released
141999,Erase ( Samantha Ronson Remix ) [ feat . Priyanka Chopra ] [ feat . Priyanka Chopra ],The Chainsmokers,Erase ( Samantha Ronson Remix ) [ feat . Priyanka Chopra ] - Single,"Pop , Music",$ 1.29,2012 Interscope Records,4:09,4-Dec-12,"Auuh Remix ( feat . Pacho , Cirilo & Angel Doze )",Javy the Flow,"Auuh Remix ( feat . Pacho , Cirilo & Angel Doze )","R&B , Dance & Electronic , Rap & Hip-Hop , Contemporary R&B , International Rap , International",$ 0.99,2015 Javy the Flow,5:05,"June 13 , 2015"
302034,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,House In The Hills ( feat . Curren $ y ) [ Clean ],Wiz Khalifa,Blacc Hollywood [ Clean ],Rap & Hip-Hop,$ 0.99,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:52,"August 19 , 2014"
126354,Biggest Man in Los Angeles,Andy Grammer,Andy Grammer,"Pop , Music , Rock , Adult Alternative",$ 1.29,‰ ãÑ 2011 S-Curve Records,3:55,14-Jun-11,Biggest Man In Los Angeles,Andy Grammer,Andy Grammer [ + Video ] [ + Digital Booklet ],Pop,$ 0.99,( C ) 2011 S-Curve Records,3:54,"June 14 , 2011"
714676,Good for You ( feat . A$ AP Rocky ) [ KASBO Remix ],Selena Gomez,Good for You ( feat . A$ AP Rocky ) [ Remixes ] - Single,"Pop , Music",$ 1.29,2015 Interscope Records,3:41,4-Sep-15,Forget Forever ( STå # FAN Remix ),Selena Gomez,For You,Pop,$ 1.29,"( C ) 2014 Hollywood Records , Inc.",3:46,"November 24 , 2014"
659997,Rewind ( feat . Monty ),Fetty Wap,Fetty Wap,"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:36,,Rewind ( feat . Monty ) [ Clean ],Fetty Wap,Fetty Wap ( Deluxe ) [ Clean ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",5:36,"September 25 , 2015"
422923,Lost At Sea ( feat . Ryan Tedder ),Zedd,Clarity ( Deluxe Edition ),"Dance , Music",$ 1.29,‰ ãÑ 2013 Interscope Records,3:45,24-Sep-13,Hourglass [ feat . LIZ ],Zedd,Clarity ( Deluxe ),Dance & Electronic,$ 1.29,( C ) 2013 Interscope Records,5:13,"September 24 , 2013"
907994,Life of the Party ( Acoustic ),Shawn Mendes,Handwritten ( Deluxe ),"Pop , Music , Rock , Vocal , Teen Pop , Dance",$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",3:13,14-Apr-15,The Weight,Shawn Mendes,Handwritten ( Deluxe ),Pop,$ 1.29,"( C ) 2015 Island Records , a division of UMG Recordings , Inc.",3:03,"April 14 , 2015"
714879,Good for You ( feat . A$ AP Rocky ) [ KASBO Remix ],Selena Gomez,Good for You ( feat . A$ AP Rocky ) [ Remixes ] - Single,"Pop , Music",$ 1.29,2015 Interscope Records,3:41,4-Sep-15,A Year Without Rain ( Dave AudÌ © Radio Remix ),Selena Gomez,For You,Pop,$ 1.29,"( C ) 2014 Hollywood Records , Inc.",3:59,"November 24 , 2014"
275652,Leave My Heart Out of This ( Acoustic ),Fifth Harmony,Better Together - Acoustic - EP,"Pop , Music , Rock , Teen Pop , Dance",$ 0.69,"2013 Simco Ltd. under exclusive license to Epic Records , a division of Sony Music Entertainment",3:54,15-Nov-13,Better Together ( Acoustic ),Fifth Harmony,Better Together - Acoustic,Pop,$ 0.69,( C ) 2014 MTA Records Limited under exclusive licence to Mercury Records Limited,3:16,"November 15 , 2013"
302031,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,House In The Hills ( feat . Curren $ y ) [ Clean ],Wiz Khalifa,Blacc Hollywood [ Clean ],Rap & Hip-Hop,$ 0.99,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:52,"August 19 , 2014"
662729,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,My Way ( feat . Monty ) [ Explicit ],Fetty Wap,Fetty Wap [ Explicit ],Rap & Hip-Hop,$ 1.29,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",3:33,"September 25 , 2015"
275684,Leave My Heart Out of This ( Acoustic ),Fifth Harmony,Better Together - Acoustic - EP,"Pop , Music , Rock , Teen Pop , Dance",$ 0.69,"2013 Simco Ltd. under exclusive license to Epic Records , a division of Sony Music Entertainment",3:54,15-Nov-13,Leave My Heart Out Of This ( Acoustic ),Fifth Harmony,Better Together - Acoustic,Pop,$ 0.69,( C ) 2014 MTA Records Limited under exclusive licence to Mercury Records Limited,3:54,"November 15 , 2013"
304080,We Dem Boyz,Wiz Khalifa,Blacc Hollywood ( Deluxe Version ),"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",$ 1.99,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:56,19-Aug-14,We Dem Boyz [ Explicit ],Wiz Khalifa,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,3:45,"August 19 , 2014"
299452,True Colors ( feat . Nicki Minaj ),Wiz Khalifa,Blacc Hollywood,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,19-Aug-14,KK ( feat . Project Pat & Juicy J ) [ Explicit ],Wiz Khalifa,Blacc Hollywood ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:09,"August 19 , 2014"
